序	店內碼	分類	書名	作者		2010/Q4	2011/Q1	2011/Q2	2011/Q3	2011/Q4	2012/Q1	2012/Q2	2012/Q3	2012/Q4	2013/Q1	2013/Q2	2013/Q3	2013/Q4	2014/Q1	2014/Q2	2014/Q3	2014/Q4	2015/Q1	2015/Q2	2015/Q3	2015/Q4	2016/Q1	2016/Q2	2016/Q3	2016/Q4	2017/Q1	2017/Q2	2017/Q3	2017/Q4	2018/Q1	2018/Q2	2018/Q3	2018/Q4	2019/Q1	2019/Q2	2019/Q3	2019/Q4	2020/Q1	2020/Q2	2020/Q3
274	0010845718	其他	2020唐綺陽星座運勢大解析	唐綺陽	9314																																					0	8949	365	
275	0010846057	其他	海奧華預言	米歇戴斯馬克特	11647																																						191	9429	2027
276	0010848637	生活旅遊	想見你	三鳳製作等	7409																																					0	6671	738	
277	0010850050	商業理財	上班族的ETF賺錢術	陳重銘	8304																																					0	6234	2070	
278	0010852671	商業理財	跟著柴鼠學FQ，做自己的提款機	柴鼠兄弟	13851																																						3281	7892	2678
279	0010852959	文學小說	以我之名	張曼娟	10135																																						740	7812	1583
280	0010853918	心理勵志	我想跟你好好說話	賴佩霞	9540																																						18	5604	3918
281	0010854562	心理勵志	後來的你，好嗎？	Peter Su	7020																																						0	6344	676
282	0010854566	生活旅遊	木曜4超玩	木曜4超玩	13141																																						0	13141	0
283	0010855836	商業理財	超速學習	史考特．楊	9945																																						0	5772	4173
284	0010858721	商業理財	阿甘投資法	闕又上	7882																																							2658	5224
285	0010859007	文學小說	終於，還是愛了	陳文茜	9956																																						0	7628	2328
286	0010860154	商業理財	彼得原理	勞倫斯．彼得等	5477																																							113	5364
287	0010861316	文學小說	正常人	莎莉．魯尼	5862																																							558	5304
288	0010863227	其他	為什麼不能等一下	王宏哲	8235																																							0	8235
289	0010864916	商業理財	大會計師教你從財報數字看懂產業本質	張明輝	4361																																							0	4361
290	0010865137	其他	心念自癒力	許瑞云/鄭先安	4071																																								4071
291	0010865186	商業理財	記得你是誰	戴西．魏德蔓	3604																																								3604
292	0010865379	其他	我的老闆是總統	陳冠穎	4597																																							0	4597
293	0010866328	其他	小學生年度學習行事曆	林怡辰	5888																																							0	5888
294	0010867756	心理勵志	我需要你的愛。這是真的嗎？	拜倫．凱蒂等	2105																																								2105
295	0010870626	其他	人生路引	楊斯棓	1781																																								1781
