序	店內碼	分類	書名	作者		2010/Q4	2011/Q1	2011/Q2	2011/Q3	2011/Q4	2012/Q1	2012/Q2	2012/Q3	2012/Q4	2013/Q1	2013/Q2	2013/Q3	2013/Q4	2014/Q1	2014/Q2	2014/Q3	2014/Q4	2015/Q1	2015/Q2	2015/Q3	2015/Q4	2016/Q1	2016/Q2	2016/Q3	2016/Q4	2017/Q1	2017/Q2	2017/Q3	2017/Q4	2018/Q1	2018/Q2	2018/Q3	2018/Q4	2019/Q1	2019/Q2	2019/Q3	2019/Q4	2020/Q1	2020/Q2	2020/Q3
63	0010546927	其他	要瘦就瘦，要健康就健康	賴宇凡	21068																	1944	7440	7340	4344																				
64	0010548551	文學小說	有些事，這些年我才懂	小野	11635							530	7243	3862																															
65	0010550821	其他	深夜食堂 8	安倍夜郎	9612							0	8013	1599																															
66	0010553393	商業理財	你要如何衡量你的人生？	克雷頓．克里斯汀生等	12658							0	7319	5339																															
67	0010553811	文學小說	我就是忍不住笑了	侯文詠	19332							0	13950	5382																															
68	0010553834	文學小說	格雷的五十道陰影I：調教	E L詹姆絲	26523							0	8458	8143	6214	3708																													
69	0010553922	生活旅遊	精．瘦．美 KIMIKO’S 明星指定美型課	kimiko	26702							0	16528	7382	2792																														
70	0010555281	商業理財	輕鬆駕馭意志力	凱莉．麥高尼格	14182								3405	8139	2638																														
71	0010558765	其他	錢買不到的東西	邁可．桑德爾	18231								2780	11322	4129																														
72	0010560077	其他	深夜食堂 9	安倍夜郎	8547								826	6270	1451																														
73	0010560998	生活旅遊	海賊王驚點語錄	冒牌生	12679								0	10397	2282																														
74	0010562160	商業理財	財務自由的講堂+財務自由的世界	黃國華	7914								0	6955	959																														
75	0010562857	商業理財	快思慢想(首批限量硬殼精裝)	康納曼	9135								0	9135	0																														
76	0010564075	商業理財	記得你是誰：哈佛的最後一堂課	戴西．魏德蔓	15262									2320	9261	3681																													
77	0010564219	文學小說	格雷的五十道陰影II：束縛	E. L. 詹姆絲	15238								0	9660	5578																														
78	0010565747	其他	視力，當然可以回復！	中川和宏	7620									349	5858	1413																													
79	0010565782	生活旅遊	塑身女皇美胸、美腹、美臀Dance	鄭多蓮	12381									3894	5623	2864																													
80	0010567579	商業理財	快思慢想	康納曼	28898									4258	14185	6952	3503																												
81	0010569284	心理勵志	想念，卻不想見的人	肆一	12404								0	901	5862	3090	2551																												
82	0010570709	心理勵志	跟任何人都可以聊得來	萊拉．朗德絲	12067													3942	5165	2960																									
83	0010573130	生活旅遊	一週腰瘦10公分的神奇骨盤枕	福辻銳記	36195									0	13627	12109	6321	4138																											
84	0010573454	文學小說	臨時空缺	J.K.羅琳	8304									0	7078	1226																													
85	0010574838	文學小說	殺手，迴光返照的命運	九把刀	6912									0	5939	973																													
86	0010579369	文學小說	格雷的五十道陰影III：自由	E. L.詹姆絲	11062										3597	4665	2800																												
87	0010580475	文學小說	揮霍(附CD)	藤井樹	5994										852	4131	1011																												
88	0010581267	商業理財	勇敢做唯一的自己	郭瑞祥	7145										0	4496	2649																												
89	0010581620	文學小說	生命中的美好缺憾	約翰．葛林	6944															496	5317	1131																							
90	0010582229	其他	驚人的「視力回復」眼球操	中川和宏	24467										0	10692	6860	4312	2603																										
91	0010582396	其他	小雨麻的副食品全記錄	小雨麻	6850										0	4137	2713																												
92	0010582447	商業理財	財報狗教你挖好股穩賺20%	財報狗	7378										0	4504	2874																												
93	0010582751	生活旅遊	這樣整才型！	邱正宏	11296											3696	4677	2923																											
94	0010583972	生活旅遊	蘭陵王	柏合麗娛樂傳媒	12111											1174	9651	1286																											
95	0010586425	生活旅遊	史上最長100CM骨盤枕	御世話整骨院整療團隊	12766											3184	7529	2053																											
96	0010586747	心理勵志	媽媽，我還不想去天堂	俞(女閒)	8287										0	4594	3693																												
97	0010586771	心理勵志	那些再與你無關的幸福	肆一	8372										0	4226	4146																												
98	0010592940	生活旅遊	MASA，早安！我們一起吃Brunch吧！	山下勝MASA	7322											0	4631	2691																											
99	0010593289	生活旅遊	比免揉麵包更簡單！	Cecillia	10007												4114	4826	1067																										
100	0010594360	文學小說	小王子	安東尼．聖修伯里	9293											0	4978	3731	584																										
101	0010594847	文學小說	解憂雜貨店	東野圭吾	88137											0	8094	8978	6471	2292					6699	6043	9552	4906		3265	6253	3496	4618	12911	4559										
102	0010595916	生活旅遊	蘭陵王影像書	柏合麗娛樂傳媒	5552											0	4697	855																											
103	0010597869	文學小說	沒有色彩的多崎作和他的巡禮之年	村上春樹	5365												0	4341	1024																										
104	0010597873	文學小說	沒有色彩的多崎作和他的巡禮之年	村上春樹	8165											0	6218	1947																											
105	0010598167	商業理財	TED Talk 十八分鐘的祕密	傑瑞米．唐納文	8726												2234	4405	2087																										
