序	分類	書名	作者	2010/Q4	2011/Q1	2011/Q2	2011/Q3	2011/Q4	2012/Q1	2012/Q2	2012/Q3	2012/Q4	2013/Q1	2013/Q2	2013/Q3	2013/Q4	2014/Q1	2014/Q2	2014/Q3	2014/Q4	2015/Q1	2015/Q2	2015/Q3	2015/Q4	2016/Q1	2016/Q2	2016/Q3	2016/Q4	2017/Q1	2017/Q2	2017/Q3	2017/Q4	2018/Q1	2018/Q2	2018/Q3	2018/Q4	2019/Q1	2019/Q2	2019/Q3	2019/Q4	2020/Q1	2020/Q2	2020/Q3	2020/Q4
74	商業理財	財務自由的講堂+財務自由的世界	黃國華								0	6955	959																															
75	商業理財	快思慢想(首批限量硬殼精裝)	康納曼								0	9135	0																															
76	商業理財	記得你是誰：哈佛的最後一堂課	戴西．魏德蔓									2320	9261	3681																														
77	文學小說	格雷的五十道陰影II：束縛	E L詹姆絲								0	9660	5578																															
78	其他	視力，當然可以回復！	中川和宏									349	5858	1413																														
79	生活旅遊	塑身女皇美胸、美腹、美臀Dance	鄭多蓮									3894	5623	2864																														
80	其他	快思慢想	康納曼									4258	14185	6952	3503																													
81	心理勵志	想念，卻不想見的人	肆一								0	901	5862	3090	2551																													
82	心理勵志	跟任何人都可以聊得來	萊拉．朗德絲													3942	5165	2960																										
83	生活旅遊	一週腰瘦10公分的神奇骨盤枕	福辻銳記									0	13627	12109	6321	4138																												
84	文學小說	臨時空缺	J.K.羅琳									0	7078	1226																														
85	文學小說	殺手，迴光返照的命運	九把刀									0	5939	973																														
86	文學小說	格雷的五十道陰影III：自由	E L詹姆絲										3597	4665	2800																													
87	文學小說	揮霍(附CD)	藤井樹										852	4131	1011																													
88	商業理財	勇敢做唯一的自己	郭瑞祥										0	4496	2649																													
89	文學小說	生命中的美好缺憾	約翰‧葛林															496	5317	1131																								
90	其他	驚人的「視力回復」眼球操	中川和宏										0	10692	6860	4312	2603																											
91	其他	小雨麻的副食品全記錄	小雨麻										0	4137	2713																													
92	商業理財	財報狗教你挖好股穩賺20%	財報狗										0	4504	2874																													
93	生活旅遊	這樣整才型！	邱正宏											3696	4677	2923																												
94	生活旅遊	蘭陵王	柏合麗娛樂傳媒											1174	9651	1286																												
95	生活旅遊	史上最長100CM骨盤枕	御世話整骨院整療團隊											3184	7529	2053																												
96	心理勵志	媽媽，我還不想去天堂	俞(女閒)										0	4594	3693																													
97	心理勵志	那些再與你無關的幸福	肆一										0	4226	4146																													
98	生活旅遊	MASA，早安！我們一起吃Brunch吧！	山下勝MASA											0	4631	2691																												
99	生活旅遊	比免揉麵包更簡單！	Cecillia												4114	4826	1067																											
100	文學小說	小王子	安東尼．聖修伯里											0	4978	3731	584																											
101	文學小說	解憂雜貨店	東野圭吾											0	8094	8978	6471	2292					6699	6043	9552	4906		3265	6253	3496	4618	12911	4559											
102	生活旅遊	蘭陵王影像書	柏合麗娛樂傳媒											0	4697	855																												
103	文學小說	沒有色彩的多崎作和他的巡禮之年	村上春樹												0	4341	1024																											
104	文學小說	沒有色彩的多崎作和他的巡禮之年	村上春樹											0	6218	1947																												
105	商業理財	TED Talk 十八分鐘的祕密	傑瑞米．唐納文												2234	4405	2087																											
106	心理勵志	學習。在一起的幸福	鄧惠文												2538	5520	1587																											
107	其他	圖解真正用得到的英文	Michael Coughlin,Josephine Lin													1336	5701	853																										
108	心理勵志	脆弱的力量	布芮尼．布朗																																	3166	10990	1526						
109	文學小說	地獄	丹．布朗												0	17917	4187																											
110	商業理財	20幾歲，就定位	林茂盛,陳俊成												0	5721	797																											
111	商業理財	30歲後你會站在哪裡？	狄驤													3112	6365	1299																										
112	其他	我的心，我的眼，看見台灣	齊柏林												0	10797	1674																											
113	商業理財	回話的藝術	鈴木銳智													2313	7182	974																										
114	生活旅遊	歐陽靖寫給女生的跑步書	歐陽靖												0	7364	3058																											
115	心理勵志	可不可以，你也剛好喜歡我？	肆一													3976	6933	2090																										
116	文學小說	遠山的回音	卡勒德‧胡賽尼													1027	5756	1130																										
117	文學小說	格雷的五十道陰影三部曲	E L詹姆絲																825	1274	14557	1654	837																					
118	文學小說	塵土記：羊毛記完結篇	休豪伊													0	5992	1279																										
119	其他	歡樂三國志	侯文詠,蔡康永													0	6798	1035																										
120	文學小說	分歧者套書	薇若妮卡．羅斯														429	5423	2503																									
121	心理勵志	希望回來了	陳雅琳														89	5905	307																									
122	心理勵志	夢想這條路踏上了，跪著也要走完。	Peter Su														949	5179	6746	5903	8072	2926																						
123	生活旅遊	每週2天輕斷食，2個月瘦8公斤！	宋侑璇														0	6224	3934																									
124	商業理財	專注的力量	丹尼爾高曼														0	4581	2306																									
125	生活旅遊	我的自由年代 原創小說	三立電視,許芸齊,吳佩珍														152	4426	310																									
126	其他	我不敢說，我怕被罵	皮姆．凡赫斯特																					1915	5443	2392																		
127	心理勵志	蔡康永的說話之道2	蔡康永														0	8060	4851	2920																								
128	其他	特殊傳說Ⅱ：亙古潛夜篇 01	護玄														0	4010	489																									
129	生活旅遊	我不是天生瘦	林可彤														0	4933	3073																									
130	其他	吃出天生燒油好體質	賴宇凡																	1481	5315	5383	2753	1100																				
131	商業理財	跟TED學表達，讓世界記住你	卡曼‧蓋洛															2605	5668	3385																								
132	文學小說	移動迷宮三部曲套書	詹姆士‧達許納															113	5810	3876																								
133	其他	靜坐的科學、醫學與心靈之旅	楊定一,楊元寧															453	9790	3417																								
134	文學小說	琅琊榜 卷壹	海宴																				191	5098	1207																			
135	心理勵志	勇敢，相信愛	百勒絲															0	6559	563																								
136	文學小說	S. 【中文版全球獨家收藏盒】	J.J. 亞伯拉罕,道格‧道斯特															0	13326	8400	5524																							
137	其他	勇敢不一樣	黃健庭															0	4927	1153																								
138	文學小說	控制	吉莉安‧弗琳																106	6910	2610																							
139	其他	今天	郝廣才																680	3561	2339	7539	1271																					
140	商業理財	從0到1	彼得‧提爾,布雷克‧馬斯特																162	8354	5651																							
141	其他	當下善轉	法相山,釋慈智																0	9189	2920																							
142	文學小說	沒有女人的男人們	村上春樹																0	10976	1814																							
143	心理勵志	被討厭的勇氣	岸見一郎,古賀史健																0	13446	13235	18718	19617	18515	20077	11121	15212	12463	15043	8562	5313													
144	商業理財	二十一世紀資本論	托瑪．皮凱提																0	5364	3731																							
145	文學小說	致我們單純的小美好	趙乾乾																												181	10659	2317											
146	其他	轉運造命之道	紫嚴導師																0	6482	2605																							
147	其他	宇宙覺士	溫曼英																	3435	6412	117																						
148	文學小說	請問侯文詠	侯文詠																	6194	13115	5354	3679																					
149	商業理財	為什麼聰明人都用方格筆記本？	高橋政史																	0	6755	6091	3179																					
150	其他	靜心舒壓曼陀羅	艾爾貝塔‧赫金森																			3885	9296	638																				
151	心理勵志	愛	Peter Su																	0	17635	7416	3302																					
152	心理勵志	表白	Dorothy																	0	8165	2757																						
153	其他	地圖	亞歷珊卓‧米契林斯卡,丹尼爾‧米契林斯基																	0	7519	2826																						
154	其他	秘密花園	喬漢娜‧貝斯福																		4202	9322	81413	2029																				
155	心理勵志	我相信‧失敗	陳文茜																		0	5338	1670																					
156	其他	奇幻夢境	Amily																			3485	14988	508																				
157	生活旅遊	醫生哪有這麼萌	Nikumon																		0	10594	1194																					
158	其他	微微一笑很傾城	顧漫																							495	5102	3405																
159	其他	也追憶似水年華	洪三雄,陳玲玉																			3417	8900	97																				
160	其他	Beautiful Day	朴英美																			141	11937	1001																				
161	生活旅遊	蘇發福日記	蘇發福																			0	7551	2408																				
162	生活旅遊	一休陪你一起愛瘦身	李一休																			0	13862	10030	6971	5472	2383																	
163	文學小說	列車上的女孩	珀拉．霍金斯																		0	0	7498	5190	3523	1463																		
164	其他	魔法森林	喬漢娜‧貝斯福																			0	24510	1677																				
165	其他	正是時候讀莊子	蔡璧名																				2421	6641	4719																			
166	其他	灣生回家	田中實加（陳宣儒）																				1664	6802	1524																			
167	心理勵志	哥教的不是歷史，是人性	呂捷																			0	0	10414	5473	1850	1195																	
168	文學小說	旅行與讀書	詹宏志																				0	5299	2837																			
169	心理勵志	那些電影教我的事	水ㄤ																			0	0	8544	5102	2319	2205																	
170	生活旅遊	愛上哥們	三立電視,陳碧真																					0	7129	149																		
171	心理勵志	你所煩惱的事，有九成都不會發生	野俊明																					0	5340	2960																		
172	文學小說	琅琊榜	海宴																					0	5618	1425																		
173	心理勵志	練習，喜歡自己	肆一																					0	8752	4227																		
174	其他	穴道導引	蔡璧名																						4199	9807	2076																	
175	其他	寫字的力量限量超值套組	侯信永																						1870	6876	3145																	
176	商業理財	Google必修的圖表簡報術	柯爾諾瑟鮑姆娜菲克																						456	6610	6052	2594																
177	其他	耳鳴，是救命的警鈴	賴仁淙																						0	12691	3555																	
178	文學小說	遇見你之前	喬喬‧莫伊絲																						0	7387	7115	835																
179	商業理財	五線譜投資術	薛兆亨,Tivo168																						0	5108	852																	
180	文學小說	流	東山彰良																						0	5022	3780																	
181	心理勵志	面對父母老去的勇氣	岸見一郎																							28	5288	1793																
182	文學小說	你轉身之後	喬喬．莫伊絲																							1033	7585	573																
183	心理勵志	如果可以簡單，誰想要複雜	Peter Su																						0	4935	12711	2416																
184	其他	臺灣史上最有梗的臺灣史	黃震南																							0	6928	3857																
185	心理勵志	當呼吸化為空氣	保羅．卡拉尼提																							0	7627	3996																
186	其他	為了活下去	朴研美																								3179	4926	6268	6033	2530													
187	生活旅遊	愛‧小時光	PUUUNG																							0	5091	1343																
188	心理勵志	不夠好也可以	鄧惠文																								530	5158	1242															
189	生活旅遊	林姓主婦的家務事	林姓主婦																								888	4277	2475															
190	心理勵志	被討厭的勇氣 二部曲完結篇	岸見一郎,古賀史健																								0	15539	13105	6174	3180													
191	文學小說	哈利波特（8）被詛咒的孩子	J.K.羅琳,約翰．帝夫尼,傑克．索恩																								0	26535	6363	1259														
192	文學小說	哈利波特（8）被詛咒的孩子	J.K.羅琳,約翰．帝夫尼,傑克．索恩																								0	5283	0															
193	其他	緣來，就是你	紫嚴導師																								0	8042	3779															
194	其他	你的名字	新海誠,加納新太																								0	7126	9															
195	心理勵志	恆毅力	安琪拉‧達克沃斯																									3151	7434	2777														
196	其他	2017唐立淇星座運勢大解析	唐立淇																								0	7452	11474	25														
197	心理勵志	情緒勒索	周慕姿																									0	15323	14314	9395	4365	7284	3488										
198	文學小說	房思琪的初戀樂園	林奕含																										1576	110669	6768	2313												
199	其他	做工的人	林立青																									0	6506	5045														
200	其他	教養的秘密	王宏哲																									0	10465	8976	6188	7007	4519											
201	心理勵志	你的善良必須有點鋒芒	慕顏歌																										0	6408	8165	6477	8874	4492										
202	其他	靈界的譯者套書	索非亞（劉柏君）																										0	6097	322													
203	心理勵志	刻意練習	安德斯‧艾瑞克森,羅伯特‧普爾																											3304	10543	11770	8136	3450										
204	其他	英語每日一滴	阿滴（Ray Du）																										0	7077	2891													
205	其他	過敏的大腦	賴仁淙																											0	14856	681												
206	文學小說	怪獸與牠們的產地＋穿越歷史的魁地奇＋吟遊詩人皮陀故事集	J.K.羅琳																											0	6560	1004												
207	心理勵志	Power錕的大人學	李錫錕																											0	9261	6886	3244											
208	心理勵志	高敏感是種天賦	伊麗絲‧桑德																											0	7274	3093												
209	文學小說	人浮於愛	侯文詠																											0	8929	1478												
210	商業理財	斜槓青年	Susan Kuang																												158	6835	5512	6111	4680									
211	其他	全新制怪物講師教學團隊的TOEIC多益5回全真模擬試題+解析	林政翰																													3446	7872	6045	3484									
212	心理勵志	可以善良，但你要有底線不當好人	午堂登紀雄																													4401	7099	2118										
213	生活旅遊	幸福烘焙的第一本書	Jeanica幸福烘培分享																												0	8119	1667											
214	其他	薩提爾的對話練習	李崇建																												0	6481	5747	4499										
215	其他	緣來，我愛你	紫嚴導師																												0	8696	3066											
216	其他	新制多益 NEW TOEIC 單字大全	David Cho																														3522	11116	12512	9333	11602	6602	9326	6427	12323	5221	4431	2870
217	其他	2018唐綺陽星座運勢大解析	唐綺陽																													3021	9531	256										
218	其他	最低的水果摘完之後	顏擇雅																													214	6131	1393										
219	其他	一天一D	江坤俊																													0	6144	2129										
220	其他	王宏哲情緒桌遊書	王宏哲																													0	5812	4321	5272	1193								
221	其他	新制多益 NEW TOEIC 閱讀題庫解析	Hackers Academia																															3520	5434	2723								
222	生活旅遊	一休陪你一起愛瘦身2	李一休																														1566	5853	1857									
223	其他	New TOEIC多益新制黃金團隊5回全真試題＋詳解	洪鎮杰,李住恩,NEXUS多益研究所																															4649	5589	4806	7011	3782						
224	文學小說	我輩中人	張曼娟																														1230	8304	3798									
225	商業理財	原則	瑞．達利歐																														226	8581	4680									
226	文學小說	天長地久	龍應台																														0	7606	3428									
227	文學小說	82年生的金智英	趙南柱																																				701	5899	4327			
228	文學小說	起源	丹‧布朗																														0	11113	4484									
229	心理勵志	在顛沛流離的世界裡，你還有我啊	Peter Su																															9656	1689									
230	生活旅遊	沖繩彭大家族自助錦囊	彭國豪,郭聖馨																														0	6595	2442									
231	生活旅遊	一日三餐減醣料理	娜塔																															3309	6102	6557	8021	7913	7604	3838				
232	生活旅遊	流浪日記	浩子（謝炘昊）																															891	5590	725								
233	其他	你的孩子不是你的孩子	吳曉樂																															210	8669	1647								
234	商業理財	真確	漢斯．羅斯林,奧拉．羅斯林,安娜．羅朗德																															1124	10773	4161	3149							
235	商業理財	富爸爸，窮爸爸	羅勃特‧T‧清崎																																								3574	2777
236	其他	21世紀的21堂課	哈拉瑞																																4393	5750	4815							
237	心理勵志	你，很好：	艾爾文																																1851	4328	1876							
238	生活旅遊	已經不是一個人	高木直子																															0	4878	1647	551							
239	文學小說	時時刻刻	張西																															0	7499	0								
240	其他	怪奇事物所	怪奇事物所所長																																0	8000	3317							
241	其他	病從排寒解	李璧如																																0	5806	1665							
242	心理勵志	蔡康永的情商課	蔡康永																																0	16171	28557	7221	4405					
243	其他	成為這樣的我	蜜雪兒‧歐巴馬																																0	5433	3513							
244	其他	教養的真相	王宏哲																																	1371	5564	3097						
245	商業理財	全聯	謝其濬																																	1769	8487	563						
246	商業理財	掌握市場週期	霍華．馬克斯																																	0	5481	1893						
247	其他	2019唐綺陽星座運勢大解析	唐綺陽																																	0	10917	377						
248	生活旅遊	曼巴精神	柯比‧布萊恩																																					68	11368	459		
249	其他	我不是「呷教」的和尚	星雲大師																																	0	10169	5478	237					
250	商業理財	故事課1	許榮哲																																		351	6330	5223	4173				
251	其他	你的善意，是孩子的光	神老師&神媽咪（沈雅琪）																																		0	6646	1811					
252	心理勵志	我決定我是誰	鍾明軒																																		0	5758	2299					
253	其他	蝴蝶朵朵	幸佳慧																																				2574	5729	1085			
254	文學小說	二常公園	張西																																		0	5381	829					
255	生活旅遊	阿芳的新三杯麵粉	蔡季芳																																		0	4886	718					
256	心理勵志	陪伴，是世上最奢侈的禮物	Peter Su																																		0	5604	2036					
257	商業理財	原子習慣	詹姆斯‧克利爾																																			2315	7494	11312	13327	12664	12196	9728
258	商業理財	我用1檔ETF存自己的18%	陳重銘																																			2707	8758	3122				
259	生活旅遊	代謝力UP減醣好好	娜塔																																			1647	8285	4326				
260	其他	新制多益NEW TOEIC聽力	閱讀題庫解析																																								3484	3538
261	其他	後背包的初心	蔡其昌,林靜宜																																			0	8023	35				
262	心理勵志	離開時，以我喜歡的樣子	樹木希林																																			0	5369	2234				
263	其他	生死之間	柯文哲																																			0	5427	1702				
264	其他	天氣之子	新海誠																																			0	5576	239				
265	心理勵志	比句點更悲傷	大師兄																																				398	6485	1787			
266	商業理財	鯨吞億萬	湯姆‧萊特,布萊利‧霍普																																				185	6048	2236			
267	商業理財	為什麼你的退休金只有別人的一半？	闕又上																																				0	6669	2048			
268	心理勵志	蔡康永的情商課2	蔡康永																																				0	9684	6445	2363		
269	商業理財	財務自由的人生	楊應超																																				0	6762	1337			
270	其他	勇敢層級	紫嚴導師																																				0	10429	2258			
271	心理勵志	ROLAND　我，和我以外的。	ROLAND																																					0	9422	1734		
272	商業理財	我畢業五年，用ETF賺到400萬	PG財經筆記																																					228	9805	3909		
273	心理勵志	這世界很煩，但你要很可愛	萬特特  等																																					0	16050	9904	2939	
274	其他	2020唐綺陽星座運勢大解析	唐綺陽																																					0	8949	365		
275	其他	海奧華預言	米歇戴斯馬克特																																						191	9429	2027	
276	生活旅遊	想見你	三鳳製作,福斯傳媒集團,簡奇,林欣慧,Di Fer																																					0	6671	738		
277	商業理財	上班族的ETF賺錢術	陳重銘																																					0	6234	2070		
278	商業理財	跟著柴鼠學FQ，做自己的提款機	柴鼠兄弟																																						3281	7892	2678	
279	文學小說	以我之名	張曼娟																																						740	7812	1583	
280	心理勵志	我想跟你好好說話	賴佩霞																																						18	5604	3918	4276
281	心理勵志	後來的你，好嗎？	Peter Su																																						0	6344	676	
282	生活旅遊	木曜4超玩	木曜4超玩																																						0	13141	0	
283	商業理財	超速學習	史考特‧楊																																						0	5772	4173	2605
284	商業理財	阿甘投資法	闕又上																																							2658	5224	1403
285	文學小說	終於，還是愛了	陳文茜																																						0	7628	2328	
286	商業理財	彼得原理	勞倫斯．彼得,雷蒙德．霍爾																																							113	5364	1708
287	文學小說	正常人	莎莉‧魯尼																																							558	5304	1062
288	其他	為什麼不能等一下	王宏哲																																							0	8235	1387
289	商業理財	大會計師教你從財報數字看懂產業本質	張明輝																																							0	4361	2486
290	其他	心念自癒力	許瑞云,鄭先安																																								4071	3624
291	商業理財	記得你是誰	戴西‧魏德蔓																																								3604	4442
292	其他	我的老闆是總統	陳冠穎																																							0	4597	
293	其他	小學生年度學習行事曆	林怡辰																																							0	5888	
294	心理勵志	我需要你的愛。這是真的嗎？	拜倫．凱蒂,麥可．卡茨																																								2105	3247
295	其他	人生路引	楊斯棓																																								1781	9718
